Video Title,Version,Style,CTR (%),Impressions,Status,Notes
How I Edit YouTube Videos in 2026,A,Face + Text,6.2,246000,Retired,Original design with blue background and bold text overlay
How I Edit YouTube Videos in 2026,B,Screenshot,7.8,246300,Winner,DaVinci Resolve timeline screenshot with face reaction — clear winner
Moving to Australia Changed My Channel,A,Face + Text,4.1,809000,Retired,Suitcase emoji and flag overlay felt too generic
Moving to Australia Changed My Channel,B,Before-After,5.2,809000,Winner,Split screen of old vs new studio worked well
$0 to 10K Subscribers in 90 Days,A,Graphic,8.4,286200,Retired,Graph going up with subscriber count — solid but B was better
$0 to 10K Subscribers in 90 Days,B,Face + Text,9.1,286300,Winner,Shocked face with 10K number overlay — emotional hook
Best Free Music for YouTube Videos,Final,Graphic,11.2,190200,Winner,Music note icons with play button — high search intent match
AI Video Tools That Actually Work,A,Comparison,0.0,0,Testing,Side by side tool logos with vs text — just uploaded
AI Video Tools That Actually Work,B,Reaction,0.0,0,Testing,Face reacting to AI edit result — testing against version A
60 Seconds of Productivity Hacks #Shorts,Final,Face + Text,3.4,5764700,Winner,Shorts thumbnail auto-generated — limited control
