Name,Agent,Category,Prompt Text,Version,Success Rate (%),Use Count,Last Used,Tags,Notes
Code Review System Prompt v3,Code Review Bot,System Prompt,"You are a senior code reviewer. Analyse the following pull request diff for: (1) logic errors, (2) security vulnerabilities, (3) performance issues, (4) style violations against our ESLint config. Output a structured JSON with severity levels: critical, warning, info. Do not suggest purely cosmetic changes unless they affect readability.",v3.0,94,1847,2026-03-28,"code, analysis","v3 added JSON output schema. Success rate improved from 87% (v2) to 94%. The JSON structure makes downstream automation easier."
Invoice Data Extraction v2,Data Extraction Pipeline,Task Prompt,"Extract the following fields from the attached invoice: vendor_name, invoice_number, invoice_date, due_date, line_items (array of {description, quantity, unit_price, total}), subtotal, tax, total_amount, currency. Return as JSON. If a field is not present, set to null. Do not hallucinate values — if unsure, set to null and add a confidence_notes field.",v2.1,91,3214,2026-03-28,"extraction, generation","v2.1 added confidence_notes field. Reduced hallucinated amounts from 8% to 2%."
Research Summary Template v1,Research Summariser,System Prompt,"Summarise the following document in a structured format: (1) Key Findings (3-5 bullet points), (2) Methodology (1 paragraph), (3) Limitations (2-3 points), (4) Relevance to our work (1 paragraph). Keep total output under 500 words. Cite specific sections when making claims.",v1.2,88,892,2026-03-27,"summarisation, analysis","v1.2 added section citation requirement. Reduced unsupported claims from 15% to 4%."
Test Generation System Prompt v2,Test Generator,System Prompt,"Generate comprehensive tests for the following function. Include: (1) happy path tests, (2) edge cases (empty input, null, boundary values), (3) error cases (invalid types, missing required fields). Use pytest conventions. Each test should have a descriptive name and docstring. Do not mock external dependencies unless explicitly told to.",v2.0,96,2156,2026-03-28,"code, testing","v2 removed auto-mocking behaviour. Tests are more integration-style now, which catches more real bugs."
Sentiment Classification Prompt v4,Sentiment Analyser,Task Prompt,"Classify the following text into one of: POSITIVE, NEUTRAL, NEGATIVE. Also assign a confidence score from 0.0 to 1.0. Return JSON: {sentiment, confidence, key_phrase}. The key_phrase should be the most sentiment-bearing phrase in the text. Do not explain your reasoning.",v4.0,97,8742,2026-03-28,"classification, analysis","v4 stripped reasoning output — 3x faster, same accuracy. Confidence calibration is solid above 0.7."
Email Routing Rules v3,Email Classifier,System Prompt,"Classify the following email into exactly one category: SUPPORT, BILLING, SALES, PARTNERSHIP, SPAM, INTERNAL, LEGAL, FEATURE_REQUEST, BUG_REPORT, SECURITY, HR, OTHER. Return JSON: {category, confidence, routing_queue}. Map categories to queues: SUPPORT→support-l1, BILLING→finance, SALES→sales-inbound, SECURITY→security-urgent, BUG_REPORT→engineering-triage. All others→general-inbox.",v3.0,93,5621,2026-03-28,"classification, automation","v3 added SECURITY category after we missed a data breach notification that went to general inbox. Critical fix."
Content Draft System Prompt v1,Content Writer,System Prompt,"Write a first draft of the requested content. Match the tone of our existing blog (technical, direct, no fluff). Use short paragraphs (3-4 sentences max). Include code examples where relevant. Mark any claims that need fact-checking with [VERIFY]. Do not use phrases: 'In today''s world', 'It''s important to note', 'Let''s dive in'.",v1.3,82,634,2026-03-26,"generation, content","v1.3 added banned phrases list. Quality improved but still needs human editing pass. 82% success = acceptable for draft generation."
RAG Retrieval Prompt v1,Local RAG Agent,Chain-of-Thought,"Given the following context retrieved from our internal documentation, answer the user's question. Think step by step: (1) Identify which retrieved passages are relevant, (2) Synthesise an answer from those passages only, (3) If the context doesn't contain enough information, say 'I don't have enough context to answer this' — do not guess. Cite passage numbers in your answer.",v1.0,76,42,2026-03-22,"retrieval, analysis","v1 baseline. 76% is below target. Main failure mode: agent synthesises from irrelevant passages when relevant ones aren't retrieved. Retrieval quality is the bottleneck, not the prompt."
Code Migration Rules v2,Code Migrator,Few-Shot Example,"Convert the following Python 2 code to Python 3. Key transformations: print statements→print(), unicode→str, dict.iteritems()→dict.items(), xrange→range, raw_input→input. Preserve all comments. Add type hints where the types are obvious. Flag any async patterns that need manual review with # TODO: MANUAL REVIEW.",v2.0,71,287,2026-03-15,"code, generation","v2 added async pattern flagging. Still fails on complex decorator chains and metaclass patterns. Needs v3 with few-shot examples for those edge cases."
Invoice Guard Rail v1,Data Extraction Pipeline,Guard Rail,"Before returning the extracted invoice data, validate: (1) total_amount equals subtotal + tax (within $0.02 tolerance), (2) all line_item totals equal quantity * unit_price, (3) invoice_date is not in the future, (4) due_date is after invoice_date. If any validation fails, add a warnings array to the output with specific failure descriptions.",v1.0,95,3214,2026-03-28,"extraction, analysis","Applied as post-processing step after extraction. Catches ~9% of extraction errors before they hit the database."
