Goal,Target,Current,Progress (%),Status,Deadline,Hustle,Priority,Milestone 1,Milestone 2,Milestone 3,Notes
Hit $15K/mo total net profit,15000,10380,69,On Track,2026-09-30,All Hustles,High,Reach $8K net (achieved),Reach $12K net,Reach $14K net,Currently $10.4K -- need 2 more hustles scaling
Reach 2000 paid Substack subscribers,2000,1400,70,On Track,2026-08-31,Substack Newsletter,High,500 subscribers (achieved),1000 subscribers (achieved),1750 subscribers,Referral program driving 20% of new subs
Launch 4th Udemy course,1,0,0,Not Started,2026-06-30,Udemy Course Bundle,Medium,Complete course outline,Record 50% of modules,Upload and submit for review,Topic: Excel for Side Hustlers
Etsy shop to $3K/mo revenue,3000,1850,62,On Track,2026-12-31,Etsy Handmade Jewellery,Medium,Hit $2K/mo (nearly there),Expand to 50 active listings,Launch wholesale enquiry page,Need to add earrings range
Reduce dropshipping expenses to 60% of revenue,60,70,50,Behind,2026-06-30,Shopify Dropshipping Store,High,Find backup supplier (achieved),Negotiate bulk pricing,Achieve 60% cost ratio,Currently at 70% -- margins too thin
Build blog to 30K monthly visitors,30000,19000,63,On Track,2026-09-30,Affiliate Marketing Blog,Medium,Reach 10K visitors (achieved),Reach 20K visitors,Reach 25K visitors,SEO strategy working -- 2 articles ranking page 1
Get 5-star Upwork Top Rated status,1,0,0,On Track,2026-05-31,Freelance Copywriting,High,Complete 10 contracts (achieved),Maintain 100% JSS,Reach Top Rated threshold,Currently Rising Talent -- strong trajectory
Save $12K in tax reserve account,12000,4800,40,Behind,2026-12-31,All Hustles,High,Save $3K (achieved),Save $6K,Save $9K,Need to increase quarterly set-asides
Launch print-on-demand store on Etsy,1,0,0,Not Started,2026-07-31,Print-on-Demand T-Shirts,Low,Design 50 products,Set up Etsy integration,First 10 sales,Currently on Redbubble only -- Etsy has more traffic
Develop passive income to 40% of total,40,22,55,Behind,2026-12-31,All Hustles,Medium,Identify all passive streams (achieved),Grow passive to 30%,Grow passive to 35%,Udemy + KDP + POD + affiliates are passive -- need to grow these
