Title,Category,Priority,SEO Potential,Competition,Search Volume,Target Audience,Notes
How to Get More YouTube Impressions in 2026,Tutorial,Hot,High,Medium,High,Small creators under 10K subs,Audience has been asking — multiple comment requests in last 2 weeks
YouTube vs TikTok: Where to Start in 2026,Commentary,Hot,High,High,High,Platform-curious beginners,Timely comparison piece — could go viral with strong thumbnail
My Entire YouTube Workflow from Idea to Upload,Behind the Scenes,Medium,Medium,Low,Medium,Intermediate creators,Good evergreen content — pairs well with editing tutorial
Best Microphones Under $100 for YouTube,Review,Medium,High,High,High,Budget-conscious beginners,Affiliate revenue opportunity — seasonal update for mid-year
How I Grew from 0 to 50K Subscribers,Tutorial,Hot,Medium,Medium,Medium,New YouTubers,Milestone video — authentic growth story with real analytics
YouTube Shorts Strategy That Actually Gets Views,Tutorial,Medium,High,Medium,High,Shorts-curious creators,Data-backed approach using channel analytics as proof
7 YouTube Mistakes I Made So You Don't Have To,Listicle,Low,Medium,Medium,Medium,Beginner to intermediate creators,Relatable content — save for a low-output week
Reacting to My First Ever YouTube Video,Vlog,Someday,Low,Low,Low,Existing subscribers,Fun community content but low search value — filler idea
Building a YouTube Studio for Under $500 AUD,Tutorial,Medium,High,Medium,High,Australian and budget creators,Localised angle with global appeal — include Bunnings gear
Creator Burnout: How I Almost Quit YouTube,Commentary,Low,Medium,Low,Medium,Full-time and aspiring full-time creators,Vulnerable content — schedule when energy is right
