Month,Provider,API Calls,Tokens (Input),Tokens (Output),Cost ($),Model,Budget ($),% of Budget,Notes
2025-10,Anthropic,342,4200000,1800000,48.60,claude-sonnet-4-20250514,75.00,64.8,First month using Claude Code seriously. Mostly exploratory sessions.
2025-10,OpenAI,128,1500000,600000,22.35,gpt-4o,50.00,44.7,ChatGPT Plus + API calls for Power Automate expression generation.
2025-10,Google,45,2800000,400000,4.20,gemini-2.0-flash,20.00,21.0,Testing Gemini for document analysis. Cheap but good for long-context tasks.
2025-11,Anthropic,567,7800000,3200000,82.40,claude-sonnet-4-20250514,75.00,109.9,Over budget — large migration project consumed heavy tokens. Raised budget to 100.
2025-11,OpenAI,95,1100000,450000,16.80,gpt-4o,50.00,33.6,Reduced usage as Claude handled more coding tasks.
2025-11,Google,78,5200000,680000,7.15,gemini-2.0-flash,20.00,35.8,Increased usage for PDF contract reviews. Great cost-per-token ratio.
2025-12,Anthropic,489,6500000,2900000,71.25,claude-sonnet-4-20250514,100.00,71.3,Normalized after migration project completed. Good ROI on the investment.
2025-12,OpenAI,62,780000,320000,11.90,gpt-4o,50.00,23.8,Winding down OpenAI usage. Mostly niche tasks Claude doesn't handle well.
2025-12,Google,110,8400000,920000,10.80,gemini-2.0-flash,20.00,54.0,Year-end document processing spike. Still cheapest option for bulk analysis.
2026-01,Anthropic,612,8900000,3800000,96.50,claude-sonnet-4-20250514,100.00,96.5,Heavy month — new project kickoff with lots of scaffolding and architecture work.
2026-01,OpenAI,41,520000,210000,7.85,gpt-4o,30.00,26.2,Reduced budget. Only using for specific tasks where GPT-4o outperforms.
2026-01,Google,92,6100000,750000,8.40,gemini-2.0-flash,20.00,42.0,Steady usage for document processing pipeline.
2026-02,Anthropic,578,8200000,3500000,89.30,claude-sonnet-4-20250514,100.00,89.3,Stable usage. Claude Code is the primary development tool now.
2026-02,OpenAI,38,480000,190000,7.20,gpt-4o,30.00,24.0,Minimal usage. Considering dropping to API-only (no Plus subscription).
2026-02,Google,135,9800000,1100000,12.60,gemini-2.0-flash,25.00,50.4,Bumped budget slightly. Using more for large codebase analysis.
2026-03,Anthropic,198,2800000,1200000,30.60,claude-sonnet-4-20250514,100.00,30.6,Month in progress — on track for ~85.
2026-03,OpenAI,15,190000,75000,2.85,gpt-4o,30.00,9.5,Month in progress.
2026-03,Google,42,3100000,380000,4.05,gemini-2.0-flash,25.00,16.2,Month in progress.
