Stream Name,Type,Platform,Monthly Revenue ($),Monthly Expenses ($),Net Profit ($),Status,Effort (hrs/week),Started,Notes
YouTube Ad Revenue,Ad Revenue,YouTube,2850.00,120.00,2730.00,Active,12,2024-03-15,"CPM averaging $18.50 across tech niche. 154K monthly views."
Notion Template Shop,Digital Products,Gumroad,1940.00,45.00,1895.00,Growing,4,2025-01-10,"6 templates live. Best seller is Creator OS at $29. Low maintenance passive income."
Tech Brand Sponsorships,Sponsorship,YouTube,5200.00,0.00,5200.00,Active,6,2024-08-01,"2 dedicated videos per month. Average $2600 per integration."
ConvertKit Affiliate,Affiliate,Newsletter,680.00,0.00,680.00,Active,1,2025-04-20,"Recurring commissions from email marketing tool referrals. 23 active referrals."
1:1 Creator Coaching,Coaching,Zoom,2400.00,50.00,2350.00,Growing,8,2025-09-01,"8 clients at $300/session. Waitlist of 5. Considering group format."
Community Membership,Memberships,Discord,1560.00,89.00,1471.00,Active,5,2025-06-15,"156 members at $10/month. 92% retention rate. Exclusive weekly calls."
Preset Pack Sales,Digital Products,Stan Store,420.00,15.00,405.00,Active,1,2025-11-20,"Lightroom and CapCut presets. Sells on autopilot from Instagram bio link."
TikTok Creator Fund,Ad Revenue,TikTok,340.00,0.00,340.00,Declining,3,2025-02-01,"Fund payouts dropping. Shifting focus to TikTok Shop instead."
Podcast Sponsorship,Sponsorship,Podcast,1800.00,200.00,1600.00,New,4,2026-01-15,"Just landed first recurring sponsor. 15-second pre-roll + 60-second mid-roll."
Merch Store,Merch,Shopify,890.00,445.00,445.00,Growing,3,2025-08-10,"Print-on-demand hoodies and mugs. 50% margin after fulfilment costs."
