Date,Project,Amount ($),Source,Payment Method,Notes,Tax Withheld ($),Net Amount ($)
2026-01-07,Claude Code Consulting,1680,Upwork,PayPal,Weekly invoice -- RetailCo automation project,0,1680
2026-01-14,Claude Code Consulting,1540,Upwork,PayPal,Weekly invoice -- FinanceApp API integration,0,1540
2026-01-18,Prompt Pack Store,290,Gumroad,Stripe,10 sales -- Claude Code mega pack,0,290
2026-01-22,AI Newsletter,380,Substack,Stripe,January paid subscriber revenue,0,380
2026-01-28,n8n Automation Services,2100,Client Direct,Bank Transfer,"Onboarding automation for Melbourne accounting firm, invoice #INV-041",210,1890
2026-02-03,ChatGPT Course,1580,Udemy,PayPal,February Udemy payout -- course sales + Udemy promotion,0,1580
2026-02-10,AI Coloring Books,340,Amazon KDP,Direct Deposit,February KDP royalties -- Easter coloring pack,0,340
2026-02-15,AI Video Editing,1200,Fiverr,PayPal,4 video editing orders completed this fortnight,0,1200
2026-02-22,Notion Template Store,195,Gumroad,Stripe,5 template sales -- PM OS and Site OS most popular,0,195
2026-03-01,n8n Automation Services,2100,Client Direct,Bank Transfer,"Monthly retainer -- SydneyTech workflow maintenance, invoice #INV-047",210,1890
2026-03-08,Claude Code Consulting,1820,Upwork,PayPal,Weekly invoice -- new client onboarding + RetailCo sprint,0,1820
2026-03-12,Substack Growth Consulting,850,Client Direct,Bank Transfer,"Consulting session x2 -- newsletter strategy for @AIBuilder, invoice #INV-048",85,765
2026-03-15,Prompt Pack Store,87,Gumroad,Stripe,3 sales -- Claude Code mega pack,0,87
2026-03-18,AI Newsletter,420,Substack,Stripe,March paid subscriber revenue -- new paid tier launched,0,420
2026-03-22,AI Coloring Books,340,Amazon KDP,Direct Deposit,March KDP royalties -- Easter pack still strong,0,340
