Name,Category,Model,Prompt Text,Rating,Use Count,Output Format,Tags,Last Used,Version,Notes
Blog Post Outline Generator,Writing,Any,"Context: I write a [NICHE] blog targeting [AUDIENCE]. Role: Act as a content strategist with SEO expertise. Action: Generate a detailed blog post outline for the topic [TOPIC] with H2 and H3 headers, key points under each, and a compelling intro hook. Format: Markdown outline with headers and bullet points. Tone: Informative and engaging.",5,89,Markdown,blog;outline;seo,2026-03-25,2.1,Works across all models. Add word count target for better results.
Social Media Thread Writer,Writing,ChatGPT,"Context: I'm posting on [PLATFORM] about [TOPIC] for an audience of [AUDIENCE]. Role: Act as a social media strategist who writes viral threads. Action: Write a [NUMBER]-post thread that hooks in the first line, delivers value in the middle, and ends with a clear CTA. Format: Numbered posts, each under [CHARACTER_LIMIT] characters. Tone: Conversational, punchy, no fluff.",4,67,Text,social;thread;viral,2026-03-24,1.2,ChatGPT handles the casual tone better than Claude here.
Email Sequence Builder,Writing,Claude,"Context: I'm launching [PRODUCT/SERVICE] and need a [NUMBER]-email welcome sequence for new subscribers. Role: Act as an email marketing specialist who writes high-converting sequences. Action: Write each email with subject line, preview text, body, and CTA. Emails should progressively build trust and lead to a purchase decision. Format: Each email clearly labelled (Email 1, Email 2, etc.) with all components. Tone: Friendly, direct, zero corporate speak.",5,45,Text,email;sequence;launch,2026-03-22,2.0,Claude handles long sequences better than other models. Keep to 5-7 emails max.
Newsletter Draft Writer,Writing,Claude,"Context: My newsletter covers [TOPIC] for [AUDIENCE]. This week's angle is [ANGLE]. Role: Act as a newsletter writer known for clear thinking and practical advice. Action: Write a [WORD_COUNT]-word newsletter edition with a hook opening, 2-3 main sections, and a personal sign-off. Format: Plain text with section breaks. Include a one-line TLDR at the top. Tone: Like a smart friend explaining something over coffee.",4,52,Text,newsletter;draft;weekly,2026-03-26,1.3,Add specific examples or data points in the context for much better output.
Sales Page Copywriter,Writing,Claude,"Context: I'm selling [PRODUCT] at [PRICE] to [AUDIENCE]. The main benefit is [BENEFIT] and the key objection is [OBJECTION]. Role: Act as a direct-response copywriter with 15 years of experience. Action: Write a sales page with headline, subheadline, problem section, solution section, benefits list, social proof section, FAQ, and CTA. Format: Sections clearly marked with headers. Tone: Persuasive but honest. No hype or fake urgency.",4,28,Markdown,sales;copy;landing-page,2026-03-20,1.1,Long prompt but consistently good output. Feed in real testimonials for the social proof section.
Python Code Reviewer,Coding,Claude,"Context: This is a [FRAMEWORK] Python codebase. The code below is [DESCRIPTION]. Role: Act as a senior Python developer doing a thorough code review. Action: Review the following code for bugs, edge cases, performance issues, security vulnerabilities, and style problems. For each issue, explain why it matters and provide a corrected code snippet. Format: Numbered list of issues, each with: severity (Critical/Major/Minor), description, and fix. Tone: Constructive and specific. No vague suggestions.",5,156,Markdown,python;review;bugs,2026-03-27,2.3,Best code review prompt in the library. Claude catches edge cases other models miss.
Test Generation Suite,Coding,Claude,"Context: I need tests for [LANGUAGE] code using [TEST_FRAMEWORK]. The code is [DESCRIPTION]. Role: Act as a QA engineer who writes thorough test suites. Action: Generate comprehensive unit tests covering happy path, edge cases, error handling, and boundary conditions. Include setup/teardown where needed. Format: Complete test file ready to run, with descriptive test names and comments explaining each test's purpose. Tone: Clean, professional test code.",4,98,Code,testing;unit-tests;qa,2026-03-26,1.4,Specify the test framework explicitly or it defaults to pytest for Python and Jest for JS.
Refactoring Advisor,Coding,Claude,"Context: This [LANGUAGE] code works but needs improvement. It's part of a [TYPE] application. Role: Act as a staff engineer reviewing code for maintainability. Action: Identify refactoring opportunities: extract functions, reduce complexity, improve naming, remove duplication, and simplify logic. For each suggestion, show the before and after. Format: Numbered suggestions with code diffs. Tone: Mentoring -- explain the why behind each change.",4,72,Markdown,refactor;clean-code;maintainability,2026-03-23,1.2,Works best when you include the surrounding code context not just the function.
API Documentation Generator,Coding,Any,"Context: I need documentation for a [LANGUAGE] REST API with the endpoints listed below. Role: Act as a technical writer who creates clear API docs. Action: For each endpoint, document: method, path, description, request parameters, request body, response format, error codes, and a curl example. Format: Markdown with tables for parameters and JSON code blocks for examples. Tone: Clear and precise. Assume the reader is a developer.",5,41,Markdown,api;docs;reference,2026-03-21,2.0,Any model works. Include actual response examples in your input for better accuracy.
Debug Assistant,Coding,Claude,"Context: I'm debugging a [LANGUAGE] application. Here's the error message: [ERROR]. Here's the relevant code: [CODE]. Role: Act as a senior debugger who methodically traces issues. Action: Explain the most likely cause of this error, walk through the debugging steps you'd take, and provide 2-3 potential fixes ranked by likelihood. Format: Cause -> Investigation steps -> Fixes (numbered by likelihood). Tone: Systematic and clear.",4,134,Text,debug;error;troubleshooting,2026-03-27,1.5,Include the full stack trace not just the error message. Claude is significantly better here than alternatives.
