Title,Category,Technology,Description,Last Updated,Use Count,Tags
Statement of Work Template,Template,General,"Reusable SOW template with sections for scope, deliverables, timeline, pricing, assumptions, and change management. Includes filled example.",2026-02-15,12,"sow, proposal, contract, scope"
Code Review Checklist,Checklist,General,"15-point checklist for reviewing code before delivery: error handling, security, performance, documentation, testing, naming conventions.",2026-01-20,8,"review, quality, code, checklist"
Client Onboarding Template,Template,General,"Step-by-step onboarding checklist: signed contract, access provisioning, kickoff meeting agenda, communication preferences, project setup.",2026-03-01,6,"onboarding, client, kickoff, checklist"
Power Automate Error Handling Pattern,Code Snippet,Power Automate,"Try-catch-finally pattern for Power Automate cloud flows. Includes scope actions, error notification, and logging to SharePoint list.",2026-02-28,15,"power automate, error handling, flow, pattern"
SharePoint REST API Quick Reference,Reference,SharePoint,"Common SharePoint REST API endpoints for lists, libraries, permissions, and site operations. Includes authentication headers and example payloads.",2025-12-10,10,"sharepoint, api, rest, reference"
Project Closeout Template,Template,General,"End-of-project checklist: final deliverables sign-off, knowledge transfer, documentation handover, lessons learned, testimonial request.",2026-01-30,5,"closeout, handover, project, template"
Power BI DAX Common Expressions,Code Snippet,Power BI,"Frequently used DAX expressions: YTD calculations, rolling averages, dynamic date filtering, conditional formatting measures.",2026-02-20,9,"power bi, dax, expressions, reporting"
Azure Function Deployment Guide,Guide,Azure,"Step-by-step guide to deploy Azure Functions via VS Code and CLI. Covers configuration, environment variables, CI/CD setup, and monitoring.",2025-11-15,4,"azure, functions, deployment, serverless"
Security Review Checklist,Checklist,General,"Security checklist for delivered solutions: authentication, authorisation, data encryption, input validation, logging, dependency scanning.",2026-01-10,7,"security, audit, checklist, review"
Discovery Call Question Framework,Template,General,"Structured question set for initial client discovery calls. Covers pain points, current systems, budget, timeline, decision process, and success criteria.",2026-02-05,11,"discovery, sales, questions, framework"
