Title,Status,Category,Publish Date,Target Length,Thumbnail Status,SEO Score,Sponsor,Notes
How I Edit YouTube Videos in 2026,Published,Tutorial,2026-03-03,18:00,Final,High,Epidemic Sound,Walkthrough of DaVinci Resolve workflow with AI-assisted cuts
Top 10 Budget Cameras for New YouTubers,Scheduled,Listicle,2026-04-01,14:00,A-B Testing,High,Amazon Associates,Affiliate-heavy video targeting beginner creators
Moving to Australia Changed My Channel,Published,Vlog,2026-03-10,22:00,Final,Low,,Personal story about relocating and rebuilding an audience
AI Video Tools That Actually Work,Editing,Review,2026-04-07,16:00,Designing,High,OpusClip,Comparing Descript vs CapCut vs OpusClip for editing automation
My YouTube Studio Tour 2026,Filming,Behind the Scenes,2026-04-14,12:00,Not Started,Medium,,Showing full setup including lighting and audio gear
Why Most YouTube Tutorials Fail,Scripting,Commentary,2026-04-21,20:00,Not Started,Medium,,Analysis of common mistakes in tutorial content structure
Collab: Creator Economy Q&A with Ali Abdaal,Idea,Collaboration,2026-05-01,35:00,Not Started,High,,Reached out via email — awaiting confirmation
$0 to 10K Subscribers in 90 Days,Published,Tutorial,2026-02-17,25:00,Final,High,,Growth strategy breakdown with real analytics screenshots
Best Free Music for YouTube Videos,Evergreen,Listicle,2026-01-20,11:00,Final,High,Artlist,Consistently ranks in search — update quarterly
60 Seconds of Productivity Hacks #Shorts,Published,Shorts,2026-03-18,0:58,Final,Low,,Repurposed from the editing workflow long-form video
