Video Title,Views,Watch Hours,Avg View Duration,CTR (%),Impressions,Likes,Comments,Subscribers Gained,Revenue ($),Published Date,Performance Rating
How I Edit YouTube Videos in 2026,38400,6120,9:34,7.8,492300,2410,318,620,312.40,2026-03-03,Above Average
Top 10 Budget Cameras for New YouTubers,0,0,0:00,0.0,0,0,0,0,0.00,2026-04-01,Average
Moving to Australia Changed My Channel,84200,18520,13:12,5.2,1618000,6830,1240,1850,685.10,2026-03-10,Viral
$0 to 10K Subscribers in 90 Days,52100,13025,15:01,9.1,572500,4180,890,2340,423.70,2026-02-17,Viral
Best Free Music for YouTube Videos,21300,2130,6:01,11.2,190200,980,142,310,173.50,2026-01-20,Above Average
60 Seconds of Productivity Hacks #Shorts,196000,2720,0:42,3.4,5764700,14200,620,890,88.20,2026-03-18,Viral
My Honest Camera Gear Review 2025,8700,1450,10:01,4.9,177500,410,67,85,70.80,2025-12-14,Average
YouTube Algorithm Explained for Small Channels,14200,3550,15:01,6.3,225400,1180,215,480,115.60,2026-01-08,Above Average
Why I Quit My 9-5 for YouTube,5200,1040,12:01,3.8,136800,320,48,42,42.30,2026-02-03,Below Average
How to Write YouTube Scripts That Hook,3100,620,12:01,2.1,147600,145,22,28,25.20,2026-02-24,Flop
