Name,Category,Platform,Monthly Revenue ($),Monthly Expenses ($),Net Profit ($),Hours/Week,Status,Started,Revenue Score (1-5),Growth Score (1-5),Scalability (1-5),Passion Score (1-5),Total Score,Notes
Etsy Handmade Jewellery,E-commerce,Etsy,1850,620,1230,12,Active,2025-03-15,3,3,3,5,14,Steady sales with seasonal peaks around holidays
Shopify Dropshipping Store,Dropshipping,Shopify,2400,1680,720,8,Scaling,2025-07-01,4,4,5,2,15,Home decor niche -- margins tight but volume growing
Freelance Copywriting,Freelance,Upwork,3200,180,3020,15,Scaling,2025-01-10,5,4,2,4,15,3 retainer clients plus ad hoc projects
Substack Newsletter,Content Creation,Substack,680,45,635,5,Active,2025-09-20,2,3,4,5,14,Side hustle tips niche -- 1400 paid subscribers
Udemy Course Bundle,Digital Products,Udemy,1450,120,1330,2,Active,2025-05-12,3,2,5,3,13,3 courses on productivity -- mostly passive now
Private Maths Tutoring,Tutoring,Own Website,1600,80,1520,10,Active,2025-02-01,3,2,1,4,10,4 regular students at $100/hr -- limited by hours
Airbnb Spare Room,Real Estate,Airbnb,1280,340,940,3,Active,2025-11-01,2,2,3,3,10,Spare bedroom in Sydney -- weekends only
Fiverr Logo Design,Freelance,Fiverr,890,60,830,6,Paused,2025-08-15,2,1,2,2,7,Paused to focus on higher-value hustles
Amazon KDP Low-Content Books,Digital Products,Amazon KDP,520,85,435,4,Active,2026-01-10,1,3,5,3,12,Journals and planners -- slow build but passive
Print-on-Demand T-Shirts,Print on Demand,Redbubble,340,40,300,3,Active,2025-10-05,1,2,5,3,11,200+ designs uploaded -- trickle income growing
Affiliate Marketing Blog,Affiliate Marketing,Own Website,960,290,670,7,Scaling,2025-06-20,2,4,4,3,13,Finance niche blog -- 15K monthly visitors
Local Lawn Mowing Service,Consulting,Own Website,1670,380,1290,8,Active,2025-04-01,3,2,1,2,8,5 regular clients in local area -- capped by geography
