Agent Name,Provider,Model,Cost Per Run ($),Status,Category,Tasks Completed,Success Rate (%),Avg Duration (sec),Last Run,API Key Ref,Notes
Code Review Bot,Anthropic,claude-opus-4-20250514,0.12,Active,Code Generation,1847,94,18.3,2026-03-28,ANTHROPIC_API_KEY in .env.production,"Reviews PRs for logic errors, security issues, and style. Runs on every push to main."
Data Extraction Pipeline,OpenAI,gpt-4o-2024-11-20,0.08,Active,Data Extraction,3214,91,12.7,2026-03-28,OPENAI_API_KEY in Vault,"Extracts structured data from invoices, receipts, and contracts. Batch processing via n8n."
Research Summariser,Google,gemini-2.5-pro,0.05,Active,Research,892,88,22.1,2026-03-27,GOOGLE_AI_KEY in .env.production,"Summarises academic papers and technical docs. Struggles with tables in PDFs — use text-only input."
Test Generator,Anthropic,claude-sonnet-4-20250514,0.04,Active,Testing,2156,96,8.4,2026-03-28,ANTHROPIC_API_KEY in .env.production,"Generates unit and integration tests from function signatures. Best results with typed languages."
Content Writer,OpenAI,gpt-4o-2024-11-20,0.06,Active,Content,634,82,15.9,2026-03-26,OPENAI_API_KEY in Vault,"Drafts blog posts and documentation. Needs heavy editing for technical accuracy — treat output as first draft only."
Sentiment Analyser,Google,gemini-2.0-flash,0.01,Active,Analysis,8742,97,3.2,2026-03-28,GOOGLE_AI_KEY in .env.production,"Classifies customer feedback as positive/neutral/negative. Fast and cheap. Production-grade for simple classification."
Code Migrator,Anthropic,claude-opus-4-20250514,0.18,Paused,Code Generation,287,71,45.6,2026-03-15,ANTHROPIC_API_KEY in .env.production,"Migrates Python 2 codebases to Python 3. Paused — success rate too low on complex async patterns. Needs prompt rework."
Local RAG Agent,Local,llama-3.3-70b-instruct,0.00,Testing,Research,42,76,38.4,2026-03-22,N/A — runs on local GPU,"Runs on RTX 4090. Retrieval-augmented generation over internal docs. Still testing retrieval accuracy."
Email Classifier,Mistral,mistral-large-2,0.02,Active,Automation,5621,93,4.8,2026-03-28,MISTRAL_API_KEY in .env.production,"Classifies incoming emails into 12 categories and routes to the correct queue. Runs every 15 minutes via cron."
Legacy Invoice Parser,OpenAI,gpt-4-turbo-2024-04-09,0.15,Deprecated,Data Extraction,12480,85,28.3,2026-02-14,OPENAI_API_KEY in Vault,"Replaced by Data Extraction Pipeline (gpt-4o). Kept for reference. Do not re-enable — model is deprecated."
