Company,Role,Status,Applied Date,Source,Salary Range,Location,Type,Resume Version,Cover Letter,Priority
Atlassian,Senior Frontend Engineer,Technical Interview,2026-02-10,LinkedIn,$180K-$220K,Sydney,Hybrid,v3.1,Yes,Dream Job
Canva,Staff Software Engineer,Screening,2026-03-05,Company Website,$200K-$250K+,Sydney,Hybrid,v3.2,Yes,Dream Job
Google,Cloud Solutions Architect,Phone Screen,2026-02-20,Recruiter Outreach,$220K-$280K,Sydney,Hybrid,v3.1,No,Dream Job
Xero,Backend Engineer,Applied,2026-03-12,Referral,$150K-$180K,Melbourne,Hybrid,v3.0,Yes,Strong Fit
SafetyCulture,Full Stack Developer,Offer,2026-01-28,Networking Event,$160K-$190K,Sydney,Full-time,v2.9,Yes,Strong Fit
Buildkite,Platform Engineer,Rejected,2026-02-01,LinkedIn,$170K-$200K,Remote (AU),Remote,v3.0,No,Good Option
Culture Amp,Data Engineer,Onsite,2026-02-15,Glassdoor,$155K-$185K,Melbourne,Hybrid,v3.1,Yes,Good Option
Envato,DevOps Engineer,Ghosted,2026-01-15,Indeed,$140K-$170K,Melbourne,Remote,v2.8,No,Safety Net
Deloitte Digital,Cloud Consultant,Withdrawn,2026-02-05,Company Website,$145K-$175K,Sydney,On-site,v3.0,Yes,Practice
Rokt,Senior Backend Engineer,Technical Interview,2026-02-25,Referral,$190K-$230K,Sydney,Hybrid,v3.2,Yes,Strong Fit
