Product Name,Type,Platform,Price ($),Units Sold,Revenue ($),Status,Launch Date,Notes
Creator Business OS,Template,Gumroad,29.00,187,5423.00,Active,2025-10-15,"Best seller. 4.8 star rating. Drives most organic traffic."
YouTube Thumbnail Presets,Preset Pack,Gumroad,19.00,312,5928.00,Active,2025-06-20,"Evergreen seller. Gets traffic from YouTube tutorials."
Content Strategy Masterclass,Course,Teachable,149.00,48,7152.00,Active,2025-11-01,"8-module course. 92% completion rate. Upsell from free workshop."
Creator Finance Spreadsheet,Template,Gumroad,12.00,156,1872.00,Active,2025-08-10,"Simple Google Sheets template. Good entry-level product."
Productivity Notion Dashboard,Template,Gumroad,24.00,95,2280.00,Active,2025-12-05,"Second best-selling template. Bundles well with Creator Business OS."
Lightroom Mobile Presets,Preset Pack,Stan Store,15.00,224,3360.00,Active,2025-04-15,"Sells consistently from Instagram bio. Low effort maintenance."
Brand Deal Pitch Templates,Template,Gumroad,9.00,203,1827.00,Active,2026-01-20,"New product. Includes 5 email templates and media kit framework."
Video Editing Workshop,Workshop,Own Site,49.00,0,0.00,Coming Soon,2026-05-01,"Live workshop series. 4 sessions over 4 weeks. Presale in April."
Creator Membership Community,Membership,Discord,10.00,156,1560.00,Active,2025-06-15,"Monthly recurring. Exclusive calls and resources. 92% retention."
Podcast Launch Blueprint,E-book,Gumroad,14.00,67,938.00,Draft,2026-04-15,"Writing in progress. Based on own podcast launch experience. 40 pages."
