Content Title,Platform,Views,Likes,Comments,Shares,Click-Through Rate (%),Revenue ($),Published Date,Performance Rating
5 AI Tools That Replaced My VA,YouTube,47200,2860,412,1340,8.2,385.50,2026-03-10,Above Average
Day in the Life: Full-Time Creator,TikTok,328000,24500,1870,8200,3.1,45.00,2026-03-14,Viral
The Notion Setup That Runs My Business,Instagram,18400,1420,215,890,4.5,120.00,2026-03-08,Above Average
$0 to $5K/Month Content Toolkit,Blog,9200,0,34,180,2.8,310.00,2026-02-28,Above Average
Creator Economy in 2026 — What Changed,Newsletter,2840,0,18,95,42.5,0.00,2026-03-25,Average
My Honest Camera Gear Review,YouTube,8900,520,87,210,5.1,72.30,2026-02-15,Average
3 Mistakes I Made Starting on TikTok,TikTok,156000,11200,920,3400,2.9,28.00,2026-02-22,Above Average
How to Batch Content in 4 Hours,YouTube,3200,190,28,65,6.4,26.10,2026-03-01,Below Average
Weekly Creator Update #12,Newsletter,1850,0,8,22,38.2,0.00,2026-03-04,Average
The LinkedIn Post That Got Me 3 Clients,LinkedIn,42000,1850,340,1100,0.0,0.00,2026-02-18,Viral
