Month,Hustle,Revenue ($),Expenses ($),Net Profit ($),Hours Spent,Hourly Rate ($),Growth vs Prior,Notes
2026-01,Etsy Handmade Jewellery,1620,540,1080,48,22.50,New,First month tracking -- post-Christmas slump
2026-01,Shopify Dropshipping Store,1980,1380,600,32,18.75,New,Testing new supplier -- margins still thin
2026-01,Freelance Copywriting,2800,150,2650,60,44.17,New,2 retainer clients plus 3 one-off projects
2026-01,Substack Newsletter,520,40,480,20,24.00,New,1100 paid subscribers -- growth steady
2026-01,Udemy Course Bundle,1380,110,1270,8,158.75,New,Udemy New Year sale boosted numbers
2026-01,Private Maths Tutoring,1400,60,1340,40,33.50,New,3 students -- one on school holidays
2026-01,Airbnb Spare Room,980,280,700,12,58.33,New,Lower occupancy in January
2026-01,Fiverr Logo Design,890,60,830,24,34.58,New,Final month before pausing
2026-01,Amazon KDP Low-Content Books,380,70,310,16,19.38,New,Uploaded 15 new journals
2026-01,Print-on-Demand T-Shirts,280,30,250,12,20.83,New,Slow month -- summer designs not performing
2026-01,Affiliate Marketing Blog,720,250,470,28,16.79,New,Published 8 new articles -- SEO still building
2026-01,Local Lawn Mowing Service,1480,320,1160,32,36.25,New,Busy summer month -- 5 regular clients
2026-02,Etsy Handmade Jewellery,1740,580,1160,50,23.20,+7.4%,Valentine's Day boost
2026-02,Shopify Dropshipping Store,2180,1520,660,34,19.41,+10.0%,New product line added -- bathroom accessories
2026-02,Freelance Copywriting,3000,170,2830,62,45.65,+6.8%,Picked up third retainer client
2026-02,Substack Newsletter,600,42,558,22,25.36,+16.3%,1250 paid subs -- referral program working
2026-02,Udemy Course Bundle,1200,100,1100,6,183.33,-2.5%,Post-sale normalisation
2026-02,Private Maths Tutoring,1600,80,1520,40,38.00,+13.4%,4th student started -- back-to-school demand
2026-02,Airbnb Spare Room,1100,310,790,12,65.83,+12.9%,Mardi Gras weekend fully booked
2026-02,Fiverr Logo Design,0,0,0,0,0.00,-100.0%,Paused -- redirecting time to copywriting
2026-02,Amazon KDP Low-Content Books,440,80,360,14,25.71,+16.1%,Previous month's uploads gaining traction
2026-02,Print-on-Demand T-Shirts,310,35,275,10,27.50,+10.0%,Autumn designs starting to sell
2026-02,Affiliate Marketing Blog,840,270,570,30,19.00,+21.3%,Google rankings improving -- 2 articles on page 1
2026-02,Local Lawn Mowing Service,1620,350,1270,34,37.35,+9.5%,Added 1 new client through referral
2026-03,Etsy Handmade Jewellery,1850,620,1230,52,23.65,+6.0%,Easter prep stock selling well
2026-03,Shopify Dropshipping Store,2400,1680,720,36,20.00,+9.1%,Best month yet -- repeat customers growing
2026-03,Freelance Copywriting,3200,180,3020,65,46.46,+6.7%,Raised rates for new clients by 15%
2026-03,Substack Newsletter,680,45,635,22,28.86,+13.8%,1400 paid subs -- milestone hit
2026-03,Udemy Course Bundle,1450,120,1330,8,166.25,+20.9%,Launched 3rd course -- strong first week
2026-03,Private Maths Tutoring,1600,80,1520,40,38.00,0.0%,Stable -- 4 students at full capacity
2026-03,Airbnb Spare Room,1280,340,940,14,67.14,+19.0%,Autumn tourist season picking up
2026-03,Fiverr Logo Design,0,0,0,0,0.00,0.0%,Still paused
2026-03,Amazon KDP Low-Content Books,520,85,435,16,27.19,+20.8%,Compound growth from catalogue
2026-03,Print-on-Demand T-Shirts,340,40,300,12,25.00,+9.1%,Added 40 new designs -- footy season range
2026-03,Affiliate Marketing Blog,960,290,670,30,22.33,+17.5%,19K monthly visitors -- affiliate conversions up
2026-03,Local Lawn Mowing Service,1670,380,1290,34,37.94,+1.6%,Stable -- autumn slowdown starting
