Video Title,Platform,Views,Completion Rate (%),Shares,Saves,Comments,Likes,Revenue ($),Posted Date,Performance Rating
Why Your Morning Routine Is Wasting Your Time,TikTok,1240000,94,18400,32000,4200,89000,215.00,2026-03-10,Viral
3 Apps That Pay You to Walk,Instagram Reels,87000,68,2100,4800,620,6200,85.00,2026-03-12,Above Average
POV: You Finally Quit Your 9-5,TikTok,892000,81,12300,19500,3100,64000,165.00,2026-03-08,Viral
Get Ready With Me While I Explain Web3,YouTube Shorts,34000,52,480,1200,190,2800,42.00,2026-03-15,Average
How I Made $500 From One TikTok,TikTok,210000,73,5600,8900,1400,15200,0.00,2026-03-01,Above Average
5 Free Tools Every Creator Needs,Instagram Reels,42000,61,890,3200,340,3100,35.00,2026-02-25,Average
My Honest Review of Living in Melbourne,TikTok,156000,77,3400,6100,2800,11000,28.00,2026-03-05,Above Average
The Productivity Hack That Changed Everything,YouTube Shorts,18000,48,210,680,95,1400,18.50,2026-02-20,Below Average
Day in My Life as a Content Creator,TikTok,67000,65,1200,2900,480,4800,12.00,2026-03-18,Average
I Tried Every AI App for 30 Days,Instagram Reels,8500,42,120,340,65,620,0.00,2026-03-20,Flop
