Company,Role,Level,Location,Base Salary ($),Total Comp ($),Source,Date Verified,Notes
Atlassian,Frontend Engineer,Senior,Sydney,195000,240000,Levels.fyi,2026-02-15,Includes RSUs vesting over 4 years; strong annual refresh grants
Canva,Software Engineer,Staff,Sydney,230000,310000,Blind,2026-03-01,Equity is significant — pre-IPO RSUs could appreciate substantially
Google,Solutions Architect,Senior,Sydney,240000,340000,Levels.fyi,2026-02-20,L5 equivalent; includes 15% target bonus plus RSUs
Xero,Backend Engineer,Mid,Melbourne,155000,170000,Glassdoor,2026-03-10,Lower base but strong super contribution at 12.5%
SafetyCulture,Full Stack Developer,Senior,Sydney,175000,205000,Offer Letter,2026-02-22,Verified from actual offer; includes $10K sign-on and equity
Culture Amp,Data Engineer,Senior,Melbourne,170000,200000,Recruiter Shared,2026-02-18,Recruiter shared range during screening; top of band for strong candidates
Rokt,Backend Engineer,Senior,Sydney,200000,260000,Blind,2026-02-28,AdTech pays well; includes performance bonus up to 20%
Buildkite,Platform Engineer,Senior,Remote (AU),180000,220000,Glassdoor,2026-01-30,Remote-first company; same pay regardless of location in AU
Deloitte Digital,Cloud Consultant,Mid,Sydney,140000,160000,Industry Report,2026-02-01,Consulting rates lower base but better progression path; good for visa sponsorship
Afterpay/Block,Software Engineer,Senior,Melbourne,190000,280000,Levels.fyi,2026-03-05,Block equity is publicly traded; total comp heavily weighted to RSUs
