Brand,Status,Platform,Fee ($),Deliverables,Deadline,Contact,Payment Status,Category
Notion,Contracted,YouTube,3500,"1x dedicated video (10+ min) + 3x Instagram stories",2026-04-15,Morgan Lee (morgan@notion.so),Pending,Sponsor
Skillshare,In Progress,YouTube,2200,"1x 60-second integration in existing video + description link",2026-03-30,Jake Rivera (jake@skillshare.com),Invoiced,Sponsor
NordVPN,Delivered,YouTube,4000,"1x dedicated video + 1x TikTok + newsletter mention",2026-02-28,Sarah Kim (creators@nordvpn.com),Paid,Sponsor
Riverside.fm,In Progress,Podcast,1500,"3x podcast episodes with integration + affiliate link",2026-04-20,Chris Tan (partnerships@riverside.fm),Pending,Affiliate
Descript,Paid,YouTube,2800,"1x dedicated tutorial video showing Descript workflow",2026-03-10,Amy Zhao (sponsorships@descript.com),Paid,Sponsor
Canva,Negotiating,Instagram,1800,"5x carousel posts featuring Canva templates over 30 days",2026-05-01,Priya Nair (creators@canva.com),Pending,Ambassador
Monday.com,Pitched,YouTube,3000,"1x comparison video: Monday.com vs competitors",2026-05-15,Tom Henderson (influencer@monday.com),Pending,Sponsor
Squarespace,Declined,YouTube,800,"1x 30-second ad read in existing video",2026-04-01,Outreach Team (creators@squarespace.com),Pending,One-off
Convertkit,Contracted,Newsletter,1200,"2x newsletter editions with dedicated section + CTA",2026-04-10,Lisa Park (partnerships@convertkit.com),Pending,Sponsor
Adobe Creative Cloud,Pitched,YouTube,5000,"1x dedicated review video + 2x TikTok shorts",2026-05-20,Mark Santos (influencers@adobe.com),Pending,Sponsor
