Hashtag,Category,Platform,Posts Using,Avg Views When Used,Status,Last Used,Notes
#sidehustle2026,Trending,TikTok,45,184000,Active,2026-03-20,"Peak performance window. Pair with finance-related content."
#productivityhacks,Niche,All,62,47000,Active,2026-03-22,"Evergreen hashtag. Consistent mid-range performance across platforms."
#techtok,Community,TikTok,38,92000,Active,2026-03-18,"Strong tech community engagement. Best with tutorial and review content."
#reelsofinstagram,Niche,Instagram,27,31000,Declining,2026-03-10,"Instagram deprioritising this tag. Switch to #reels2026."
#dayinmylife,Trending,All,51,128000,Active,2026-03-21,"Lifestyle content staple. High save rate when paired with aspirational visuals."
#learnontiktok,Community,TikTok,33,205000,Active,2026-03-19,"TikTok actively promotes this tag. Educational content gets boosted."
#moneytok,Community,TikTok,19,156000,Active,2026-03-15,"Finance niche community. Controversial takes perform best here."
#workfromhome,Niche,All,41,38000,Declining,2026-02-28,"Saturated post-pandemic. Use more specific tags like #remoteworklife."
#aigenerated,Trending,TikTok,8,67000,Testing,2026-03-24,"New tag gaining traction. AI content exploding in Q1 2026."
#flowtechcreator,Branded,All,12,22000,Active,2026-03-22,"Our branded community tag. Growing slowly but drives loyal audience."
