Hook Text,Category,Niche,Times Used,Avg Completion Rate (%),Performance Rating,Notes
Why is nobody talking about this?,Question,Tech,8,82,Viral,"Consistently drives curiosity. Works best with a pause after delivery."
I wasted 3 years doing this wrong,Bold Claim,Productivity,5,76,Strong,"Personal vulnerability angle resonates. Pair with a visual transformation."
This is why you're broke,Controversy,Finance,3,88,Viral,"Polarising on purpose. Expect negative comments but engagement is massive."
What happens when you do this for 30 days,Curiosity Gap,Lifestyle,6,71,Strong,"Challenge format hooks. Works across niches. Show day 1 vs day 30 early."
Wait for it...,Pattern Interrupt,Business,12,64,Average,"Overused in 2025. Still works if the payoff is genuinely surprising."
Here's what I looked like before and after,Before-After,Fitness,4,79,Strong,"Visual transformation hooks dominate in fitness and lifestyle niches."
3 things I wish I knew before starting,How To,Business,7,73,Strong,"List hooks work well for educational content. Keep each point under 8 seconds."
The top 5 apps you need right now,List,Tech,9,67,Average,"Saturated format. Only works if apps are genuinely lesser-known."
Your boss doesn't want you to know this,Controversy,Finance,2,85,Viral,"Authority-challenging hooks perform well with 18-34 demographic."
I tested every productivity app so you don't have to,Bold Claim,Productivity,3,74,Strong,"Effort-framing hooks build trust. Show the actual apps on screen."
