Sound Name,Platform,Status,Category,First Spotted,Times Used,Avg Performance Rating,Content Ideas,Notes
Aesthetic - Tollan Kim,TikTok,Evergreen,Music,2025-08-14,14,Strong,"POV videos, lifestyle montages, day-in-life","Timeless lo-fi beat. Works year-round for aesthetic content."
Oh No - Kreepa,TikTok,Evergreen,Music,2024-03-01,9,Average,"Reaction videos, fail compilations, before-after reveals","Oversaturated but still usable for reaction content. Best with genuine surprise moments."
Tech Tips Voiceover #47,Instagram Reels,Trending,Voiceover,2026-03-05,3,Viral,"Screen recordings, app tutorials, tech reviews","New trending VO for tech niche. Jump on this quickly before peak."
Calm Piano Study Beat,YouTube Shorts,Evergreen,Music,2025-11-20,7,Strong,"Productivity tips, study routines, workspace tours","Safe background music for educational Shorts. No copyright risk."
Original Audio - @hustlemindset,TikTok,Trending,Original Audio,2026-03-12,5,Viral,"Finance tips, side hustle reveals, income breakdowns","Creator's original VO going viral. Use for money-related content."
Money Trees - Kendrick Lamar,TikTok,Peak,Music,2026-02-28,6,Strong,"Income reveals, luxury lifestyle, financial wins","Peak usage now. 1-2 week window left before decline."
Dramatic Reveal SFX,All,Evergreen,Sound Effect,2025-06-10,11,Average,"Before-after, transformation, surprise reveals","Utility sound. Pair with visual transitions for maximum impact."
Chill Vibes - LoFi Mix,Instagram Reels,Evergreen,Music,2025-09-22,8,Strong,"Tutorial walkthroughs, product reviews, morning routines","Instagram audience responds well to lo-fi. Higher save rates."
Motivational Speech Clip #12,YouTube Shorts,Declining,Voiceover,2026-01-15,4,Weak,"Gym content, morning routine, hustle culture","Motivational VO trend fading. Audience fatigue setting in."
Paradise - Ikson,YouTube Shorts,Trending,Music,2026-03-18,2,Strong,"Travel content, beach lifestyle, digital nomad vlogs","New royalty-free track trending on Shorts. Great for travel niche."
