Idea,Platform,Category,Priority,Status,Source,Potential,Notes
How I Structure My Content Week (Full Breakdown),YouTube,Productivity,Hot,Ready to Create,Audience Request,High,"Most requested topic in Q&A. Show Notion workflow and batching system."
Reacting to My First Ever Video,TikTok,Entertainment,Medium,Backlog,Personal,Medium,"Fun nostalgia content. Good for engagement but low monetisation."
Complete Guide to Creator Contracts,YouTube,Business,Hot,Researching,Evergreen,High,"Legal angle — what to look for in brand deal contracts. Potentially partner with a lawyer."
The Algorithm Doesn't Hate You (Here's Proof),Twitter/X,Growth,Hot,Ready to Create,Trending,High,"Thread format with data from own analytics. Contrarian take gets engagement."
Building a Second Brain for Content Creators,Newsletter,Productivity,Medium,In Production,Evergreen,Medium,"Adapted from Tiago Forte concepts. Specific to creator workflows."
Collab Video: Day Swap with @TechCreatorSam,YouTube,Entertainment,Medium,Researching,Collaboration,Medium,"Audience crossover potential. Sam has 45K subs in adjacent niche."
$0 Marketing Strategy That Grew My Newsletter 10x,LinkedIn,Growth,Hot,Ready to Create,Personal,High,"LinkedIn article with screenshot proof. Repurpose to Twitter thread."
My Exact Gear Setup Under $2000,Instagram,Tech & Tools,Low,Backlog,Audience Request,Low,"Standard gear video. Market is saturated but evergreen search traffic."
Why I Left My 9-5 (1 Year Update),YouTube,Lifestyle,Medium,Backlog,Personal,Medium,"Anniversary of going full-time. Honest financials and lessons."
Beginner's Guide to Podcast Editing with Descript,Podcast,Tutorial,Low,Someday,Evergreen,Low,"Could tie into Descript sponsorship. Low priority until podcast grows."
