Goal,Category,Target ($),Current ($),Status,Deadline,Priority,Quarter,Notes
Hit $20K monthly revenue,Revenue,20000.00,18080.00,On Track,2026-06-30,High,Q2 2026,"Currently at $18K. Need to close 2 more brand deals to hit target."
Launch flagship course,Product,15000.00,0.00,Behind,2026-06-30,High,Q2 2026,"Course outline done. Need to film 12 modules. Behind on recording schedule."
Build $50K emergency fund,Savings,50000.00,32000.00,On Track,2026-12-31,Medium,Q4 2026,"Saving $3K/month. On track for year-end target."
Land 3 recurring sponsors,Brand Deals,0.00,0.00,On Track,2026-06-30,High,Q2 2026,"Have 2 recurring (NordVPN, Canva). Epidemic Sound close to recurring."
Grow newsletter to 15K subs,Growth,0.00,0.00,Behind,2026-09-30,Medium,Q3 2026,"Currently at 8200. Need 750/month growth. Testing paid acquisition."
Invest $20K in index funds,Investment,20000.00,8000.00,On Track,2026-12-31,Low,Q4 2026,"Auto-investing $1500/month into VDHG. Dollar cost averaging."
Launch merch line V2,Product,5000.00,890.00,Not Started,2026-09-30,Low,Q3 2026,"V1 doing okay. V2 will add premium hoodie and hat designs."
Achieve $10K/month passive income,Revenue,10000.00,6230.00,Ahead,2026-12-31,High,Q4 2026,"Digital products + affiliates + ad revenue trending well. Course will accelerate this."
Diversify to 6+ income streams,Revenue,0.00,0.00,Completed,2026-03-31,Medium,Q1 2026,"Now at 8 active streams. Exceeded target. Focus shifts to optimising each."
Reduce expenses by 15%,Savings,0.00,0.00,On Track,2026-06-30,Medium,Q2 2026,"Audited all subscriptions. Cancelled 3 unused tools. Negotiated editor rate."
